acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.248,-0.102,0.883,-0.093,-0.056,0.038,0,0,57,134,155,index-finger
0.266,-0.090,0.881,-0.100,-0.074,0.031,0,0,59,133,156,index-finger
0.255,-0.086,0.900,-0.119,-0.082,0.020,0,0,59,133,155,index-finger
0.274,-0.078,0.907,-0.130,-0.082,-0.002,0,0,59,132,155,index-finger
0.275,-0.077,0.908,-0.136,-0.106,-0.019,0,0,59,133,156,index-finger
0.257,-0.065,0.913,-0.114,-0.118,-0.050,0,0,58,132,157,index-finger
0.254,-0.055,0.919,-0.068,-0.114,-0.075,0,0,59,133,156,index-finger
0.236,-0.070,0.907,-0.028,-0.109,-0.091,0,0,58,133,156,index-finger
0.216,-0.073,0.908,0.013,-0.112,-0.090,0,0,58,133,155,index-finger
0.212,-0.093,0.895,0.032,-0.106,-0.082,0,0,58,132,157,index-finger
0.198,-0.100,0.880,0.016,-0.096,-0.061,0,0,59,133,157,index-finger
0.189,-0.109,0.885,-0.015,-0.079,-0.047,0,0,59,133,157,index-finger
0.194,-0.108,0.868,-0.047,-0.067,-0.031,0,0,59,132,156,index-finger
0.200,-0.105,0.882,-0.055,-0.064,-0.020,0,0,59,133,156,index-finger
0.203,-0.097,0.876,-0.057,-0.070,-0.001,0,0,59,132,156,index-finger
0.202,-0.087,0.874,-0.037,-0.082,0.006,0,0,59,132,155,index-finger
0.200,-0.087,0.848,-0.011,-0.070,0.012,0,0,58,132,156,index-finger
0.204,-0.083,0.854,0.006,-0.050,0.011,0,0,59,132,157,index-finger
0.218,-0.081,0.865,0.021,-0.041,0.006,0,0,55,133,159,index-finger
0.226,-0.073,0.862,0.033,-0.037,0.002,0,0,59,133,158,index-finger
0.234,-0.072,0.865,0.039,-0.042,0.002,0,0,60,133,158,index-finger
0.238,-0.076,0.865,0.045,-0.053,-0.013,0,0,61,134,157,index-finger
0.238,-0.073,0.870,0.056,-0.053,-0.019,0,0,60,133,158,index-finger
0.240,-0.076,0.874,0.051,-0.062,-0.023,0,0,60,133,157,index-finger
0.242,-0.082,0.866,0.043,-0.071,-0.030,0,0,61,133,158,index-finger
0.236,-0.074,0.857,0.051,-0.077,-0.040,0,0,61,133,158,index-finger
0.226,-0.080,0.866,0.065,-0.076,-0.044,0,0,61,134,158,index-finger
0.224,-0.075,0.847,0.079,-0.066,-0.046,0,0,63,134,158,index-finger
0.223,-0.084,0.853,0.086,-0.043,-0.048,0,0,61,133,158,index-finger
0.226,-0.081,0.853,0.079,-0.027,-0.040,0,0,61,133,158,index-finger
0.229,-0.079,0.860,0.074,-0.024,-0.034,0,0,61,133,158,index-finger
0.234,-0.086,0.863,0.059,-0.025,-0.022,0,0,61,134,158,index-finger
0.231,-0.081,0.865,0.037,-0.022,-0.008,0,0,61,134,158,index-finger
0.236,-0.073,0.876,0.019,-0.019,0.002,0,0,61,134,157,index-finger
0.239,-0.074,0.897,0.007,-0.009,0.002,0,0,61,134,158,index-finger
0.235,-0.073,0.884,0.017,-0.002,-0.000,0,0,60,134,158,index-finger
0.229,-0.073,0.889,0.019,0.019,-0.010,0,0,60,134,158,index-finger
0.231,-0.086,0.895,0.016,0.032,-0.015,0,0,61,134,159,index-finger
0.228,-0.083,0.894,0.006,0.033,-0.023,0,0,61,134,158,index-finger
0.226,-0.076,0.884,0.006,0.021,-0.035,0,0,61,134,158,index-finger
0.208,-0.087,0.888,0.010,-0.007,-0.039,0,0,60,134,158,index-finger
0.208,-0.099,0.885,0.020,-0.019,-0.041,0,0,60,134,159,index-finger
0.196,-0.104,0.889,0.020,-0.017,-0.043,0,0,60,134,158,index-finger
0.189,-0.116,0.883,0.013,-0.011,-0.032,0,0,59,134,159,index-finger
0.186,-0.118,0.879,0.009,-0.009,-0.014,0,0,59,133,157,index-finger
0.184,-0.124,0.885,0.005,-0.019,0.001,0,0,59,133,158,index-finger
0.190,-0.121,0.872,0.007,-0.029,0.013,0,0,59,134,158,index-finger
0.194,-0.127,0.871,0.001,-0.046,0.031,0,0,59,134,158,index-finger
0.190,-0.132,0.870,-0.019,-0.051,0.040,0,0,59,134,159,index-finger
0.192,-0.126,0.882,-0.026,-0.038,0.048,0,0,60,134,159,index-finger
0.200,-0.116,0.877,-0.041,-0.018,0.063,0,0,59,134,159,index-finger
0.216,-0.106,0.898,-0.045,-0.008,0.084,0,0,60,134,159,index-finger
0.217,-0.098,0.901,-0.047,-0.010,0.098,0,0,59,135,159,index-finger
