acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.392,0.757,0.187,0.412,-0.089,-0.116,0,0,0,7,0,middle-finger
0.388,0.739,0.188,0.377,-0.066,-0.118,0,0,0,7,0,middle-finger
0.390,0.734,0.185,0.325,-0.029,-0.120,0,0,0,7,0,middle-finger
0.392,0.725,0.187,0.277,0.010,-0.118,0,0,0,7,0,middle-finger
0.392,0.735,0.204,0.211,0.021,-0.118,0,0,0,7,0,middle-finger
0.400,0.738,0.214,0.137,0.043,-0.110,0,0,0,7,0,middle-finger
0.410,0.743,0.229,0.029,0.052,-0.095,0,0,0,7,0,middle-finger
0.417,0.753,0.231,-0.095,0.050,-0.076,0,0,0,7,0,middle-finger
0.425,0.766,0.240,-0.227,0.030,-0.042,0,0,0,7,0,middle-finger
0.426,0.761,0.248,-0.324,-0.015,-0.022,0,0,0,7,0,middle-finger
0.426,0.767,0.264,-0.393,-0.052,-0.007,0,0,0,7,0,middle-finger
0.428,0.769,0.253,-0.421,-0.068,-0.005,0,0,0,7,0,middle-finger
0.435,0.786,0.279,-0.411,-0.074,-0.011,0,0,0,7,0,middle-finger
0.450,0.802,0.280,-0.393,-0.082,-0.009,0,0,0,7,0,middle-finger
0.459,0.800,0.294,-0.363,-0.083,-0.017,0,0,0,7,0,middle-finger
0.461,0.832,0.307,-0.351,-0.088,-0.016,0,0,0,6,0,middle-finger
0.447,0.844,0.319,-0.349,-0.105,-0.015,0,0,0,7,0,middle-finger
0.443,0.851,0.331,-0.359,-0.102,-0.032,0,0,0,7,0,middle-finger
0.445,0.849,0.342,-0.340,-0.087,-0.049,0,0,0,7,0,middle-finger
0.443,0.862,0.352,-0.293,-0.071,-0.048,0,0,0,7,0,middle-finger
0.449,0.866,0.383,-0.219,-0.068,-0.025,0,0,0,7,0,middle-finger
0.470,0.868,0.381,-0.132,-0.128,0.007,0,0,0,7,0,middle-finger
0.482,0.854,0.371,-0.041,-0.235,0.065,0,0,0,7,0,middle-finger
0.500,0.865,0.386,0.063,-0.382,0.117,0,0,0,8,0,middle-finger
0.528,0.876,0.408,0.189,-0.517,0.141,0,0,0,7,0,middle-finger
0.559,0.915,0.419,0.337,-0.647,0.152,0,0,0,9,0,middle-finger
0.566,0.932,0.438,0.473,-0.823,0.154,0,0,0,9,0,middle-finger
0.572,0.947,0.491,0.688,-1.011,0.104,0,0,0,9,0,middle-finger
0.513,1.002,0.457,0.775,-1.064,0.045,0,0,0,9,0,middle-finger
0.540,1.062,0.523,1.017,-1.138,-0.023,0,0,2,11,0,middle-finger
0.561,1.094,0.599,1.361,-1.116,-0.091,0,0,5,11,0,middle-finger
0.550,1.076,0.608,1.610,-1.095,-0.167,0,1,8,12,0,middle-finger
0.603,1.104,0.644,1.770,-1.051,-0.294,0,4,9,14,0,middle-finger
0.677,1.167,0.701,1.818,-1.039,-0.404,0,5,13,14,0,middle-finger
0.722,1.169,0.750,1.952,-1.141,-0.562,0,5,15,13,0,middle-finger
0.785,1.211,0.834,2.266,-1.217,-0.814,0,8,16,13,0,middle-finger
0.800,1.235,0.912,2.783,-1.405,-1.038,0,10,21,15,0,middle-finger
0.767,1.263,0.915,3.585,-1.415,-1.302,0,12,25,17,6,middle-finger
0.797,1.299,0.941,4.366,-1.307,-1.614,0,17,28,21,31,middle-finger
0.720,1.251,0.932,4.366,-1.233,-1.953,0,21,29,25,33,middle-finger
0.711,1.187,0.917,4.366,-1.091,-2.283,0,23,32,29,37,middle-finger
0.605,1.035,0.823,4.366,-0.993,-2.431,0,25,34,30,71,middle-finger
0.582,0.826,0.827,4.366,-0.916,-2.559,0,27,36,35,74,middle-finger
0.604,0.698,0.790,4.366,-0.850,-2.767,0,30,34,51,105,middle-finger
0.512,0.493,0.774,4.366,-0.984,-2.804,0,34,34,55,132,middle-finger
