acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.207,-0.603,0.679,2.731,-0.866,-0.969,14,29,35,170,394,rotation
0.216,-0.596,0.669,2.666,-0.546,-1.086,15,30,35,170,392,rotation
0.252,-0.637,0.717,2.595,-0.346,-1.170,15,28,36,170,393,rotation
0.248,-0.705,0.694,2.522,-0.218,-1.261,14,29,36,170,393,rotation
0.235,-0.743,0.630,2.348,-0.124,-1.304,14,28,35,169,393,rotation
0.211,-0.793,0.572,2.084,0.051,-1.305,15,29,35,168,392,rotation
0.194,-0.816,0.551,1.748,0.304,-1.302,18,27,36,168,392,rotation
0.156,-0.799,0.510,1.514,0.639,-1.284,19,28,35,166,393,rotation
0.120,-0.804,0.516,1.374,0.965,-1.217,15,27,35,164,394,rotation
0.123,-0.818,0.506,1.191,1.328,-1.101,29,28,35,162,391,rotation
0.126,-0.817,0.491,0.982,1.725,-1.010,29,27,35,159,392,rotation
0.075,-0.862,0.418,0.843,1.942,-0.867,17,27,34,158,392,rotation
0.043,-0.884,0.404,0.612,2.318,-0.754,17,27,34,155,395,rotation
0.052,-0.890,0.382,0.332,2.762,-0.687,18,27,34,154,394,rotation
0.069,-0.896,0.397,-0.007,3.238,-0.659,19,26,34,155,394,rotation
0.090,-0.894,0.392,-0.233,3.610,-0.659,20,26,33,149,390,rotation
0.126,-0.867,0.388,-0.461,3.933,-0.684,22,29,34,153,393,rotation
0.182,-0.829,0.357,-0.693,4.262,-0.646,22,26,34,153,396,rotation
0.230,-0.779,0.388,-0.732,4.366,-0.553,23,26,34,153,394,rotation
0.287,-0.731,0.427,-0.611,4.366,-0.373,23,26,32,153,393,rotation
0.281,-0.752,0.404,-0.482,4.366,-0.191,22,26,34,153,394,rotation
0.286,-0.770,0.403,-0.456,4.272,-0.022,14,26,34,151,392,rotation
0.270,-0.812,0.381,-0.555,4.213,0.159,9,26,34,150,390,rotation
0.239,-0.858,0.321,-0.794,4.215,0.375,6,26,34,149,390,rotation
0.246,-0.860,0.286,-1.173,4.248,0.580,6,26,34,150,390,rotation
0.270,-0.819,0.256,-1.508,4.351,0.687,5,26,34,149,390,rotation
0.333,-0.741,0.276,-1.840,4.366,0.686,5,29,35,149,391,rotation
0.429,-0.654,0.281,-1.986,4.366,0.566,5,27,34,150,392,rotation
0.535,-0.549,0.328,-1.859,4.366,0.400,5,27,37,150,392,rotation
0.584,-0.484,0.383,-1.467,4.366,0.356,5,27,34,153,393,rotation
0.592,-0.487,0.419,-1.039,4.053,0.487,4,26,34,151,394,rotation
0.592,-0.552,0.425,-0.772,3.708,0.698,4,27,34,151,395,rotation
0.604,-0.595,0.394,-0.745,3.460,0.857,5,27,35,156,397,rotation
0.636,-0.654,0.368,-0.816,3.193,0.970,6,27,34,158,396,rotation
0.642,-0.689,0.335,-1.017,2.815,1.142,6,27,34,158,398,rotation
0.610,-0.708,0.287,-1.371,2.462,1.400,6,26,35,161,401,rotation
0.555,-0.707,0.232,-1.795,2.273,1.740,5,27,34,161,398,rotation
0.582,-0.636,0.184,-2.327,2.346,2.002,2,27,35,162,398,rotation
0.732,-0.475,0.188,-2.668,2.440,1.918,0,28,34,165,399,rotation
0.865,-0.390,0.256,-2.441,2.246,1.601,0,29,35,167,397,rotation
0.937,-0.365,0.287,-1.872,1.696,1.330,0,30,34,169,398,rotation
0.963,-0.373,0.296,-1.452,1.037,1.172,0,29,34,169,398,rotation
0.950,-0.406,0.298,-1.107,0.439,1.133,0,29,33,168,396,rotation
0.892,-0.447,0.305,-0.994,-0.023,1.258,0,29,33,169,395,rotation
0.834,-0.484,0.259,-1.153,-0.411,1.429,0,30,34,170,394,rotation
0.813,-0.490,0.264,-1.378,-0.647,1.617,0,29,33,170,393,rotation
0.789,-0.463,0.226,-1.628,-0.794,1.832,0,29,31,171,391,rotation
0.838,-0.416,0.255,-1.832,-0.849,1.967,0,29,30,169,391,rotation
0.938,-0.321,0.283,-1.813,-1.017,1.822,0,29,31,170,394,rotation
1.034,-0.229,0.403,-1.219,-1.391,1.399,0,29,30,170,393,rotation
