acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.948,-0.013,0.018,-0.173,-0.150,0.024,0,0,0,0,0,shake
0.954,-0.011,0.007,-0.176,-0.159,0.030,0,0,0,0,0,shake
0.962,-0.017,0.008,-0.162,-0.157,0.039,0,0,0,0,0,shake
0.961,-0.011,0.004,-0.131,-0.152,0.054,0,0,0,0,0,shake
0.945,-0.017,-0.010,-0.092,-0.121,0.065,0,0,0,0,0,shake
0.955,-0.029,-0.009,-0.129,-0.128,0.056,0,0,0,0,0,shake
0.937,-0.018,-0.001,-0.140,-0.141,0.059,0,0,0,0,0,shake
0.930,-0.012,0.027,-0.127,-0.117,0.074,0,0,0,0,0,shake
0.950,-0.024,0.009,-0.133,-0.053,0.063,0,0,0,0,0,shake
0.945,-0.023,0.041,-0.143,-0.001,0.070,0,0,0,0,0,shake
0.972,-0.037,0.012,-0.152,-0.031,0.083,0,0,0,0,0,shake
0.967,-0.042,0.034,-0.159,-0.053,0.105,0,0,0,0,0,shake
0.964,-0.044,0.055,-0.148,-0.039,0.107,0,0,0,0,0,shake
0.962,-0.030,0.049,-0.129,-0.014,0.092,0,0,0,0,0,shake
0.960,-0.025,0.023,-0.111,0.024,0.052,0,0,0,0,0,shake
0.964,-0.006,0.008,-0.076,0.048,0.016,0,0,0,0,0,shake
0.976,0.008,-0.020,-0.056,0.075,0.002,0,0,0,0,0,shake
1.004,0.022,-0.021,-0.043,0.079,-0.011,0,0,0,0,0,shake
1.004,0.043,-0.013,-0.039,0.066,-0.011,0,0,0,0,0,shake
1.037,0.012,0.002,-0.015,0.088,-0.014,0,0,0,0,0,shake
1.008,0.018,0.008,-0.038,0.086,-0.045,0,0,0,0,0,shake
0.997,0.017,0.023,-0.020,0.105,-0.052,0,0,0,0,0,shake
1.008,-0.016,0.044,-0.033,0.182,-0.060,0,0,0,0,0,shake
1.023,-0.003,0.033,-0.070,0.309,-0.091,0,0,0,0,0,shake
1.045,-0.006,0.017,-0.041,0.413,-0.135,0,0,0,0,0,shake
1.096,0.017,0.010,-0.063,0.510,-0.173,0,0,0,0,0,shake
1.215,0.050,-0.025,-0.105,0.535,-0.196,0,0,0,0,0,shake
1.282,0.077,-0.052,-0.104,0.478,-0.192,0,0,0,0,0,shake
1.334,0.079,-0.073,-0.053,0.346,-0.255,0,0,0,0,0,shake
1.360,0.091,-0.060,-0.003,0.198,-0.320,0,0,0,0,0,shake
1.338,0.098,-0.049,0.031,0.110,-0.356,0,0,0,0,0,shake
1.342,0.099,-0.027,0.010,0.078,-0.391,0,0,0,0,0,shake
1.317,0.138,-0.025,-0.030,0.055,-0.406,0,0,0,0,0,shake
1.223,0.199,-0.016,-0.119,0.079,-0.272,0,0,0,0,0,shake
1.254,0.086,-0.007,-0.114,0.094,-0.294,0,0,0,0,0,shake
1.292,0.106,-0.010,-0.190,0.118,-0.328,0,0,0,0,0,shake
1.232,0.079,0.005,-0.157,0.071,-0.398,0,0,0,0,0,shake
1.156,0.053,-0.014,-0.133,0.034,-0.526,0,0,0,0,0,shake
1.094,0.013,-0.033,-0.112,-0.040,-0.671,0,0,0,0,0,shake
1.001,0.002,0.000,-0.034,-0.035,-0.778,0,0,0,0,0,shake
0.954,-0.017,0.031,0.033,0.076,-0.810,0,0,0,0,0,shake
0.882,-0.049,0.048,-0.001,0.314,-0.808,0,0,0,0,0,shake
0.847,-0.055,0.036,-0.059,0.628,-0.822,0,0,0,0,0,shake
0.848,-0.074,-0.014,-0.083,0.784,-0.868,0,0,0,0,0,shake
0.866,-0.094,-0.029,-0.067,0.818,-0.931,0,0,0,0,0,shake
0.859,-0.106,-0.023,-0.045,0.730,-0.962,0,0,0,0,0,shake
0.848,-0.134,-0.026,-0.065,0.552,-0.936,0,0,0,0,0,shake
