acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.362,-0.976,-0.085,-0.227,0.016,0.064,0,38,53,127,251,spiderman
0.364,-0.961,-0.079,-0.211,0.031,0.050,0,38,53,127,251,spiderman
0.369,-0.964,-0.075,-0.167,0.074,0.033,0,38,53,127,253,spiderman
0.383,-0.972,-0.079,-0.137,0.118,0.025,0,38,53,127,253,spiderman
0.397,-0.985,-0.072,-0.142,0.143,0.028,0,38,53,127,253,spiderman
0.410,-0.981,-0.076,-0.167,0.145,0.036,0,38,53,129,253,spiderman
0.426,-0.990,-0.091,-0.201,0.145,0.029,0,38,53,129,253,spiderman
0.438,-0.989,-0.082,-0.253,0.146,-0.009,0,38,53,129,252,spiderman
0.440,-0.981,-0.077,-0.296,0.133,-0.076,0,38,53,129,253,spiderman
0.425,-0.969,-0.083,-0.306,0.104,-0.160,0,38,53,129,252,spiderman
0.413,-0.963,-0.086,-0.271,0.059,-0.244,0,39,53,127,253,spiderman
0.403,-0.951,-0.086,-0.203,0.018,-0.311,0,39,53,129,253,spiderman
0.374,-0.961,-0.096,-0.134,0.021,-0.345,0,39,53,127,254,spiderman
0.354,-0.983,-0.106,-0.101,0.059,-0.363,0,39,53,129,254,spiderman
0.359,-1.003,-0.092,-0.120,0.120,-0.357,0,39,54,129,254,spiderman
0.369,-1.009,-0.091,-0.174,0.172,-0.359,0,38,53,127,254,spiderman
0.391,-1.022,-0.081,-0.193,0.184,-0.382,0,38,54,129,255,spiderman
0.404,-1.023,-0.071,-0.179,0.191,-0.425,0,38,53,126,254,spiderman
0.422,-1.012,-0.066,-0.161,0.202,-0.493,0,39,54,127,254,spiderman
0.424,-0.998,-0.069,-0.100,0.226,-0.577,0,38,54,127,255,spiderman
0.431,-1.013,-0.076,-0.006,0.257,-0.677,0,38,54,127,255,spiderman
0.453,-1.021,-0.072,0.053,0.298,-0.759,0,38,53,130,257,spiderman
0.467,-1.033,-0.059,0.069,0.318,-0.825,0,38,53,127,254,spiderman
0.456,-1.055,-0.064,0.099,0.318,-0.886,0,38,54,129,257,spiderman
0.448,-1.055,-0.052,0.104,0.306,-0.938,0,39,54,127,258,spiderman
