acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.912,-0.053,-0.448,-0.045,-0.005,-0.025,39,33,43,126,264,thumb-up
0.911,-0.064,-0.450,-0.042,-0.005,-0.021,40,34,43,125,264,thumb-up
0.902,-0.055,-0.454,-0.031,-0.007,-0.018,41,33,43,125,265,thumb-up
0.899,-0.053,-0.459,-0.025,-0.004,-0.015,41,33,43,125,266,thumb-up
0.903,-0.047,-0.461,-0.018,-0.004,-0.012,40,33,44,125,265,thumb-up
0.914,-0.048,-0.477,-0.012,-0.015,-0.014,40,34,43,126,267,thumb-up
0.912,-0.043,-0.469,-0.012,-0.026,-0.016,40,34,45,126,266,thumb-up
0.914,-0.045,-0.472,-0.018,-0.035,-0.019,41,34,42,125,267,thumb-up
0.912,-0.042,-0.465,-0.029,-0.034,-0.028,41,29,43,126,267,thumb-up
0.906,-0.051,-0.462,-0.037,-0.026,-0.035,41,34,42,126,267,thumb-up
0.902,-0.056,-0.462,-0.041,-0.017,-0.035,41,34,43,126,267,thumb-up
0.900,-0.058,-0.455,-0.039,-0.013,-0.042,41,34,42,126,267,thumb-up
0.901,-0.057,-0.459,-0.028,-0.013,-0.043,41,35,43,126,267,thumb-up
0.905,-0.053,-0.448,-0.022,-0.014,-0.044,41,34,42,126,267,thumb-up
0.905,-0.050,-0.454,-0.014,-0.020,-0.046,40,33,42,126,266,thumb-up
0.910,-0.055,-0.446,-0.008,-0.022,-0.044,41,34,43,126,267,thumb-up
0.914,-0.054,-0.443,0.004,-0.028,-0.048,40,34,41,127,267,thumb-up
0.912,-0.052,-0.451,0.018,-0.036,-0.061,40,34,43,127,267,thumb-up
0.910,-0.050,-0.444,0.033,-0.038,-0.072,41,34,43,126,267,thumb-up
0.911,-0.058,-0.446,0.044,-0.039,-0.084,41,38,43,129,266,thumb-up
0.904,-0.062,-0.443,0.054,-0.037,-0.088,41,34,43,127,266,thumb-up
0.900,-0.062,-0.455,0.056,-0.035,-0.088,41,34,42,127,267,thumb-up
0.889,-0.069,-0.450,0.059,-0.029,-0.082,41,34,42,127,266,thumb-up
0.895,-0.074,-0.428,0.058,-0.023,-0.072,41,34,43,127,267,thumb-up
0.883,-0.078,-0.437,0.051,-0.032,-0.055,42,34,43,129,267,thumb-up
0.885,-0.080,-0.438,0.048,-0.027,-0.037,41,34,42,129,266,thumb-up
0.893,-0.077,-0.444,0.050,-0.024,-0.019,42,33,43,129,266,thumb-up
0.898,-0.078,-0.442,0.060,-0.020,-0.016,41,33,43,129,266,thumb-up
0.899,-0.070,-0.442,0.078,-0.023,-0.007,41,33,43,127,266,thumb-up
0.906,-0.079,-0.450,0.088,-0.034,-0.004,42,34,43,127,266,thumb-up
0.912,-0.077,-0.456,0.096,-0.045,-0.007,41,34,43,129,267,thumb-up
0.910,-0.080,-0.469,0.094,-0.045,-0.008,41,34,42,129,267,thumb-up
0.915,-0.088,-0.469,0.081,-0.044,-0.005,41,34,42,127,266,thumb-up
0.914,-0.083,-0.471,0.064,-0.035,0.002,41,34,43,129,267,thumb-up
0.925,-0.083,-0.464,0.056,-0.038,0.008,41,33,43,131,268,thumb-up
0.929,-0.088,-0.456,0.050,-0.041,0.012,41,34,42,129,267,thumb-up
0.927,-0.085,-0.451,0.057,-0.049,0.006,41,34,43,129,267,thumb-up
0.934,-0.084,-0.457,0.086,-0.091,-0.015,41,34,43,129,267,thumb-up
0.939,-0.079,-0.456,0.116,-0.059,-0.050,41,34,42,129,267,thumb-up
0.944,-0.078,-0.448,0.151,-0.058,-0.071,41,34,43,127,267,thumb-up
0.941,-0.083,-0.453,0.162,-0.052,-0.086,41,34,43,127,267,thumb-up
0.934,-0.087,-0.465,0.153,-0.050,-0.085,40,34,49,127,267,thumb-up
0.938,-0.087,-0.473,0.125,-0.054,-0.081,39,34,42,129,269,thumb-up
0.929,-0.089,-0.467,0.092,-0.053,-0.071,39,34,44,129,269,thumb-up
0.929,-0.092,-0.467,0.062,-0.048,-0.064,39,34,42,127,269,thumb-up
0.927,-0.096,-0.469,0.037,-0.050,-0.061,39,34,45,129,271,thumb-up
0.923,-0.097,-0.466,0.017,-0.055,-0.059,39,35,42,127,270,thumb-up
0.918,-0.096,-0.459,0.002,-0.052,-0.056,39,35,42,126,271,thumb-up
0.915,-0.094,-0.461,0.000,-0.050,-0.058,39,34,43,127,271,thumb-up
0.919,-0.097,-0.454,-0.007,-0.048,-0.062,39,36,45,127,273,thumb-up
0.918,-0.085,-0.459,-0.003,-0.052,-0.066,39,35,43,127,270,thumb-up
0.935,-0.076,-0.467,0.013,-0.062,-0.067,39,35,43,127,271,thumb-up
0.918,-0.088,-0.443,0.005,-0.048,-0.080,39,35,39,127,271,thumb-up
0.916,-0.079,-0.438,-0.003,-0.053,-0.075,39,34,43,127,271,thumb-up
0.919,-0.080,-0.438,-0.006,-0.053,-0.068,38,34,43,127,271,thumb-up
0.919,-0.088,-0.425,-0.018,-0.054,-0.064,41,35,42,126,273,thumb-up
0.904,-0.080,-0.431,-0.025,-0.047,-0.068,38,35,43,127,273,thumb-up
0.906,-0.082,-0.437,-0.019,-0.035,-0.072,39,35,42,127,275,thumb-up
0.910,-0.085,-0.433,-0.004,-0.022,-0.079,39,34,42,127,274,thumb-up
0.912,-0.080,-0.437,0.002,-0.011,-0.074,38,35,43,127,274,thumb-up
0.916,-0.088,-0.436,-0.003,-0.019,-0.068,38,35,43,127,274,thumb-up
0.917,-0.086,-0.453,-0.016,-0.031,-0.060,38,35,42,127,274,thumb-up
0.916,-0.075,-0.452,-0.030,-0.043,-0.051,38,35,43,127,274,thumb-up
0.909,-0.075,-0.445,-0.047,-0.041,-0.040,39,35,43,129,273,thumb-up
0.916,-0.076,-0.446,-0.055,-0.035,-0.044,39,35,43,127,273,thumb-up
0.915,-0.070,-0.440,-0.058,-0.030,-0.042,38,34,43,129,274,thumb-up
0.911,-0.078,-0.442,-0.052,-0.024,-0.044,39,35,43,127,273,thumb-up
0.910,-0.074,-0.429,-0.043,-0.023,-0.046,39,35,43,129,274,thumb-up
0.904,-0.083,-0.435,-0.042,-0.013,-0.046,38,35,43,129,274,thumb-up
0.903,-0.071,-0.437,-0.039,-0.010,-0.045,39,35,43,130,274,thumb-up
0.908,-0.069,-0.431,-0.032,-0.008,-0.041,40,35,43,129,274,thumb-up
0.907,-0.065,-0.438,-0.021,-0.005,-0.049,38,35,43,130,274,thumb-up
0.909,-0.069,-0.433,-0.014,0.008,-0.062,39,35,43,129,274,thumb-up
0.918,-0.062,-0.434,-0.008,0.012,-0.072,39,35,43,129,276,thumb-up
0.901,-0.073,-0.433,-0.012,0.011,-0.096,39,36,43,129,276,thumb-up
0.913,-0.061,-0.450,-0.027,0.055,-0.108,39,36,43,129,276,thumb-up
0.914,-0.067,-0.428,-0.023,0.080,-0.122,39,35,43,130,277,thumb-up
0.904,-0.071,-0.430,-0.027,0.109,-0.145,39,35,43,130,277,thumb-up
0.904,-0.063,-0.422,-0.021,0.109,-0.152,37,35,43,129,278,thumb-up
0.902,-0.070,-0.448,-0.019,0.131,-0.159,40,35,43,130,277,thumb-up
0.898,-0.083,-0.431,-0.029,0.125,-0.170,39,35,42,129,274,thumb-up
0.899,-0.074,-0.445,-0.040,0.104,-0.174,39,35,43,129,274,thumb-up
0.894,-0.083,-0.453,-0.049,0.090,-0.172,38,35,43,129,275,thumb-up
0.884,-0.092,-0.473,-0.070,0.082,-0.167,38,34,43,127,275,thumb-up
0.873,-0.105,-0.488,-0.128,0.121,-0.160,37,35,42,129,275,thumb-up
0.864,-0.124,-0.504,-0.221,0.239,-0.171,37,34,43,129,275,thumb-up
0.869,-0.128,-0.517,-0.352,0.424,-0.199,37,35,42,127,274,thumb-up
0.889,-0.130,-0.511,-0.476,0.606,-0.236,35,35,43,129,273,thumb-up
0.906,-0.121,-0.525,-0.559,0.737,-0.249,34,35,42,126,273,thumb-up
0.924,-0.129,-0.469,-0.600,0.754,-0.235,28,35,43,126,271,thumb-up
0.948,-0.109,-0.478,-0.563,0.751,-0.230,27,34,43,127,271,thumb-up
0.970,-0.099,-0.473,-0.461,0.608,-0.224,27,35,42,126,273,thumb-up
0.971,-0.105,-0.471,-0.336,0.400,-0.185,27,35,43,126,273,thumb-up
0.967,-0.120,-0.468,-0.231,0.157,-0.149,25,35,43,125,273,thumb-up
0.928,-0.128,-0.481,-0.168,-0.037,-0.126,25,36,43,127,270,thumb-up
0.903,-0.151,-0.479,-0.134,-0.131,-0.112,24,35,43,127,271,thumb-up
0.879,-0.156,-0.510,-0.134,-0.149,-0.097,25,36,43,127,271,thumb-up
0.864,-0.168,-0.488,-0.148,-0.094,-0.097,25,35,42,132,269,thumb-up
0.852,-0.163,-0.471,-0.160,-0.021,-0.094,25,36,42,127,271,thumb-up
0.832,-0.170,-0.479,-0.169,0.050,-0.098,25,36,43,129,271,thumb-up
0.833,-0.172,-0.479,-0.173,0.141,-0.110,25,35,43,129,270,thumb-up
0.843,-0.170,-0.484,-0.190,0.245,-0.132,24,35,42,127,271,thumb-up
0.870,-0.160,-0.499,-0.178,0.290,-0.138,24,35,43,129,271,thumb-up
0.900,-0.152,-0.497,-0.100,0.196,-0.126,26,36,42,126,272,thumb-up
0.907,-0.154,-0.503,-0.043,-0.024,-0.088,25,35,43,126,271,thumb-up
0.891,-0.158,-0.505,-0.040,-0.249,-0.047,21,35,43,126,271,thumb-up
0.874,-0.150,-0.495,-0.012,-0.396,-0.023,25,36,43,126,271,thumb-up
0.860,-0.165,-0.513,-0.066,-0.431,-0.017,24,36,43,126,273,thumb-up
0.845,-0.180,-0.528,-0.145,-0.375,-0.052,25,35,43,126,271,thumb-up
0.838,-0.182,-0.532,-0.251,-0.211,-0.134,25,37,43,126,271,thumb-up
0.861,-0.180,-0.543,-0.435,0.012,-0.226,24,37,43,126,273,thumb-up
0.885,-0.188,-0.536,-0.541,0.192,-0.337,24,37,43,126,273,thumb-up
0.893,-0.196,-0.537,-0.663,0.251,-0.446,24,37,41,126,273,thumb-up
0.886,-0.202,-0.545,-0.811,0.313,-0.551,25,37,43,126,273,thumb-up
0.872,-0.205,-0.563,-0.947,0.436,-0.655,24,37,43,126,271,thumb-up
0.806,-0.233,-0.821,-1.135,0.605,-0.733,24,37,43,125,270,thumb-up
0.863,-0.211,-0.556,-1.247,0.813,-0.829,25,37,42,124,273,thumb-up
0.854,-0.232,-0.579,-1.363,1.005,-0.921,25,37,43,122,273,thumb-up
0.835,-0.256,-0.579,-1.418,1.236,-1.050,25,37,42,123,271,thumb-up
0.789,-0.291,-0.611,-1.511,1.498,-1.218,35,37,42,123,274,thumb-up
0.763,-0.307,-0.625,-1.669,1.860,-1.469,55,37,43,123,270,thumb-up
0.757,-0.293,-0.608,-1.771,2.282,-1.632,65,40,41,123,277,thumb-up
0.755,-0.258,-0.594,-1.783,2.639,-1.645,68,37,39,124,277,thumb-up
0.774,-0.247,-0.573,-1.643,2.805,-1.566,74,37,36,122,277,thumb-up
0.809,-0.253,-0.570,-1.464,2.662,-1.495,78,37,36,121,285,thumb-up
0.824,-0.284,-0.588,-1.259,2.339,-1.467,81,36,36,120,282,thumb-up
0.837,-0.292,-0.586,-1.005,1.930,-1.440,83,37,37,117,282,thumb-up
0.781,-0.273,-0.596,-0.752,1.522,-1.318,100,37,36,119,283,thumb-up
0.710,-0.272,-0.583,-0.442,1.125,-1.048,97,38,35,119,281,thumb-up
0.676,-0.281,-0.594,-0.083,0.795,-0.751,99,37,36,119,282,thumb-up
0.660,-0.313,-0.604,0.269,0.527,-0.514,98,37,36,119,283,thumb-up
0.657,-0.352,-0.640,0.402,0.263,-0.354,99,39,36,119,282,thumb-up
0.655,-0.377,-0.667,0.500,0.056,-0.268,99,37,35,119,283,thumb-up
0.639,-0.399,-0.677,0.497,-0.046,-0.225,100,37,36,120,285,thumb-up
0.629,-0.409,-0.685,0.315,0.045,-0.194,101,37,34,123,285,thumb-up
0.634,-0.418,-0.685,0.190,0.106,-0.161,100,38,36,121,285,thumb-up
0.637,-0.410,-0.682,0.108,0.138,-0.103,101,37,36,121,285,thumb-up
0.666,-0.404,-0.692,0.089,0.168,-0.024,99,37,35,121,284,thumb-up
0.701,-0.408,-0.678,0.061,0.193,0.039,101,37,36,122,286,thumb-up
0.728,-0.407,-0.671,0.102,0.141,0.059,103,37,35,121,283,thumb-up
0.740,-0.420,-0.678,0.207,0.047,0.058,110,37,36,121,284,thumb-up
0.752,-0.411,-0.676,0.205,0.006,0.057,123,37,36,121,286,thumb-up
0.746,-0.423,-0.674,0.197,-0.008,0.073,123,35,36,122,283,thumb-up
0.750,-0.427,-0.689,0.197,0.025,0.088,127,37,35,121,285,thumb-up
0.761,-0.423,-0.687,0.170,-0.006,0.086,130,37,35,122,285,thumb-up
0.755,-0.440,-0.693,0.145,-0.025,0.082,135,37,36,122,285,thumb-up
0.744,-0.430,-0.709,0.108,-0.031,0.074,137,37,37,121,285,thumb-up
0.738,-0.431,-0.706,0.089,-0.046,0.083,140,37,38,122,284,thumb-up
0.724,-0.419,-0.709,0.102,-0.094,0.078,142,37,39,118,283,thumb-up
0.715,-0.412,-0.713,0.110,-0.035,0.059,143,38,37,123,284,thumb-up
0.716,-0.418,-0.731,0.139,-0.009,0.043,145,37,36,123,283,thumb-up
0.715,-0.415,-0.730,0.062,0.046,0.033,145,38,36,123,281,thumb-up
0.720,-0.413,-0.731,-0.005,0.035,0.036,145,37,37,123,280,thumb-up
0.711,-0.409,-0.728,-0.068,-0.005,0.051,145,38,37,124,281,thumb-up
0.715,-0.402,-0.734,-0.124,-0.027,0.052,145,39,37,125,282,thumb-up
0.717,-0.398,-0.718,-0.130,-0.019,0.027,149,37,37,124,279,thumb-up
0.714,-0.401,-0.712,-0.123,0.033,-0.009,150,37,37,125,280,thumb-up
0.727,-0.398,-0.723,-0.157,0.105,-0.043,149,38,37,125,281,thumb-up
0.735,-0.398,-0.719,-0.212,0.135,-0.046,148,38,38,125,283,thumb-up
0.745,-0.387,-0.724,-0.209,0.091,-0.006,149,38,37,125,283,thumb-up
0.764,-0.385,-0.722,-0.199,0.032,0.037,149,37,37,125,282,thumb-up
0.756,-0.387,-0.712,-0.176,-0.080,0.059,151,38,37,126,283,thumb-up
0.745,-0.393,-0.706,-0.167,-0.161,0.086,150,38,36,126,283,thumb-up
0.738,-0.396,-0.703,-0.187,-0.220,0.116,149,38,38,126,283,thumb-up
0.736,-0.396,-0.701,-0.206,-0.257,0.125,148,37,38,127,282,thumb-up
0.724,-0.389,-0.696,-0.200,-0.279,0.118,147,37,38,127,281,thumb-up
0.736,-0.394,-0.683,-0.193,-0.286,0.103,146,37,37,127,280,thumb-up
0.738,-0.385,-0.683,-0.187,-0.264,0.043,146,38,37,126,279,thumb-up
0.748,-0.391,-0.668,-0.144,-0.242,-0.044,146,37,37,127,279,thumb-up
0.744,-0.392,-0.665,-0.118,-0.201,-0.112,145,37,38,127,279,thumb-up
0.740,-0.401,-0.652,-0.136,-0.167,-0.146,143,37,37,129,279,thumb-up
0.726,-0.391,-0.641,-0.135,-0.162,-0.133,141,37,38,124,281,thumb-up
0.721,-0.393,-0.649,-0.126,-0.171,-0.111,141,38,38,129,281,thumb-up
0.724,-0.398,-0.644,-0.113,-0.190,-0.102,140,37,37,127,280,thumb-up
0.726,-0.409,-0.652,-0.111,-0.216,-0.101,141,37,38,127,281,thumb-up
0.710,-0.403,-0.654,-0.107,-0.230,-0.112,141,38,37,129,280,thumb-up
0.701,-0.398,-0.652,-0.105,-0.217,-0.131,139,37,38,129,279,thumb-up
0.695,-0.412,-0.655,-0.106,-0.182,-0.151,139,38,38,127,280,thumb-up
0.682,-0.408,-0.647,-0.124,-0.148,-0.170,140,38,38,129,278,thumb-up
0.683,-0.399,-0.652,-0.128,-0.115,-0.175,139,38,38,130,278,thumb-up
0.685,-0.399,-0.651,-0.133,-0.090,-0.181,139,38,38,130,279,thumb-up
0.682,-0.402,-0.648,-0.122,-0.075,-0.185,139,38,37,129,280,thumb-up
0.676,-0.406,-0.650,-0.103,-0.074,-0.188,139,38,37,131,281,thumb-up
0.666,-0.408,-0.653,-0.101,-0.076,-0.174,139,38,37,129,281,thumb-up
0.654,-0.419,-0.643,-0.100,-0.080,-0.153,137,38,37,129,281,thumb-up
0.653,-0.423,-0.653,-0.110,-0.088,-0.136,137,38,37,129,281,thumb-up
0.640,-0.427,-0.655,-0.127,-0.079,-0.122,137,38,37,129,281,thumb-up
0.638,-0.433,-0.652,-0.123,-0.044,-0.112,135,38,37,127,281,thumb-up
0.640,-0.436,-0.666,-0.129,0.004,-0.108,135,38,37,129,281,thumb-up
0.637,-0.437,-0.662,-0.141,0.057,-0.121,136,38,37,129,281,thumb-up
0.644,-0.450,-0.656,-0.137,0.103,-0.136,135,38,37,129,281,thumb-up
0.650,-0.453,-0.658,-0.171,0.155,-0.154,135,38,37,130,280,thumb-up
0.658,-0.462,-0.662,-0.211,0.221,-0.168,136,38,37,129,281,thumb-up
0.660,-0.464,-0.662,-0.257,0.200,-0.172,135,38,36,127,281,thumb-up
0.657,-0.470,-0.662,-0.287,0.185,-0.184,137,38,38,130,281,thumb-up
0.658,-0.467,-0.662,-0.339,0.193,-0.180,136,38,37,129,281,thumb-up
