acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.076,-0.123,0.920,-0.053,-0.028,-0.012,0,0,0,0,0,tiny-movement
0.088,-0.117,0.909,-0.032,-0.024,-0.014,0,0,0,0,0,tiny-movement
0.077,-0.110,0.902,-0.004,-0.019,-0.015,0,0,0,0,0,tiny-movement
0.083,-0.119,0.904,0.007,-0.018,-0.018,0,0,0,0,0,tiny-movement
0.080,-0.128,0.908,0.002,-0.017,-0.019,0,0,0,0,0,tiny-movement
0.087,-0.126,0.886,-0.017,-0.018,-0.017,0,0,0,0,0,tiny-movement
0.092,-0.127,0.894,-0.024,-0.014,-0.011,0,0,0,0,0,tiny-movement
0.089,-0.135,0.908,-0.024,-0.021,-0.010,0,0,0,0,0,tiny-movement
0.084,-0.124,0.900,-0.013,-0.024,-0.009,0,0,0,0,0,tiny-movement
0.091,-0.124,0.904,-0.005,-0.020,-0.010,0,0,0,0,0,tiny-movement
0.087,-0.125,0.898,-0.000,-0.022,-0.005,0,0,0,0,0,tiny-movement
0.082,-0.120,0.912,0.001,-0.021,-0.003,0,0,0,0,0,tiny-movement
0.082,-0.120,0.896,0.004,-0.017,-0.005,0,0,0,0,0,tiny-movement
0.084,-0.124,0.895,0.006,-0.015,0.001,0,0,0,0,0,tiny-movement
0.085,-0.120,0.902,0.015,-0.018,-0.001,0,0,0,0,0,tiny-movement
0.088,-0.128,0.899,0.016,-0.018,-0.008,0,0,0,0,0,tiny-movement
0.083,-0.126,0.898,0.024,-0.019,-0.007,0,0,0,0,0,tiny-movement
0.084,-0.125,0.902,0.021,-0.018,-0.008,0,0,0,0,0,tiny-movement
0.082,-0.126,0.905,0.022,-0.015,-0.008,0,0,0,0,0,tiny-movement
0.082,-0.132,0.898,0.023,-0.017,-0.008,0,0,0,0,0,tiny-movement
0.081,-0.125,0.896,0.021,-0.011,-0.016,0,0,0,0,0,tiny-movement
0.081,-0.132,0.898,0.019,-0.015,-0.014,0,0,0,0,0,tiny-movement
0.088,-0.132,0.900,0.013,-0.015,-0.015,0,0,0,0,0,tiny-movement
0.089,-0.131,0.895,0.003,-0.016,-0.015,0,0,0,0,0,tiny-movement
0.091,-0.133,0.898,-0.005,-0.018,-0.016,0,0,0,0,0,tiny-movement
0.094,-0.134,0.891,-0.009,-0.019,-0.016,0,0,0,0,0,tiny-movement
0.089,-0.133,0.895,-0.008,-0.023,-0.022,0,0,0,0,0,tiny-movement
0.094,-0.130,0.898,-0.007,-0.024,-0.027,0,0,0,0,0,tiny-movement
0.093,-0.130,0.904,-0.007,-0.027,-0.028,0,0,0,0,0,tiny-movement
0.089,-0.132,0.890,-0.011,-0.029,-0.029,0,0,0,0,0,tiny-movement
0.081,-0.121,0.886,-0.006,-0.028,-0.039,0,0,0,0,0,tiny-movement
0.087,-0.128,0.899,0.005,-0.039,-0.040,0,0,0,0,0,tiny-movement
0.083,-0.134,0.904,-0.019,-0.035,-0.038,0,0,0,0,0,tiny-movement
0.085,-0.136,0.919,-0.037,-0.033,-0.037,0,0,0,0,0,tiny-movement
0.081,-0.129,0.917,-0.042,-0.024,-0.038,0,0,0,0,0,tiny-movement
0.087,-0.124,0.911,-0.010,-0.024,-0.039,0,0,0,0,0,tiny-movement
0.087,-0.119,0.902,0.029,-0.026,-0.040,0,0,0,0,0,tiny-movement
0.085,-0.126,0.885,0.036,-0.032,-0.041,0,0,0,0,0,tiny-movement
0.087,-0.147,0.872,0.013,-0.035,-0.042,0,0,0,0,0,tiny-movement
0.081,-0.151,0.900,-0.045,-0.039,-0.030,0,0,0,0,0,tiny-movement
0.085,-0.133,0.896,-0.077,-0.039,-0.019,0,0,0,0,0,tiny-movement
0.081,-0.125,0.913,-0.073,-0.037,-0.013,0,0,0,0,0,tiny-movement
0.088,-0.113,0.904,-0.041,-0.029,-0.015,0,0,0,0,0,tiny-movement
0.079,-0.113,0.911,0.009,-0.029,-0.019,0,0,0,0,0,tiny-movement
0.081,-0.116,0.889,0.037,-0.027,-0.017,0,0,0,0,0,tiny-movement
0.079,-0.123,0.898,0.033,-0.020,-0.014,0,0,0,0,0,tiny-movement
0.072,-0.135,0.890,0.005,-0.016,-0.000,0,0,0,0,0,tiny-movement
0.083,-0.127,0.899,-0.021,-0.011,0.005,0,0,0,0,0,tiny-movement
0.084,-0.128,0.905,-0.013,-0.011,0.008,0,0,0,0,0,tiny-movement
0.083,-0.114,0.912,0.009,-0.007,0.007,0,0,0,0,0,tiny-movement
0.085,-0.116,0.910,0.031,-0.008,0.004,0,0,0,0,0,tiny-movement
0.090,-0.125,0.904,0.044,-0.007,0.006,0,0,0,0,0,tiny-movement
0.098,-0.127,0.901,0.040,-0.011,0.009,0,0,0,0,0,tiny-movement
0.095,-0.132,0.893,0.026,-0.015,0.005,0,0,0,0,0,tiny-movement
0.087,-0.137,0.893,0.014,-0.018,0.003,0,0,0,0,0,tiny-movement
0.088,-0.129,0.881,0.006,-0.020,-0.005,0,0,0,0,0,tiny-movement
0.083,-0.136,0.899,0.007,-0.021,-0.018,0,0,0,0,0,tiny-movement
0.074,-0.133,0.897,0.003,-0.027,-0.022,0,0,0,0,0,tiny-movement
0.076,-0.140,0.903,-0.014,-0.025,-0.024,0,0,0,0,0,tiny-movement
0.073,-0.140,0.900,-0.028,-0.023,-0.020,0,0,0,0,0,tiny-movement
0.083,-0.135,0.897,-0.032,-0.022,-0.020,0,0,0,0,0,tiny-movement
0.085,-0.132,0.903,-0.039,-0.018,-0.024,0,0,0,0,0,tiny-movement
0.085,-0.132,0.901,-0.035,-0.018,-0.029,0,0,0,0,0,tiny-movement
0.090,-0.134,0.902,-0.031,-0.023,-0.036,0,0,0,0,0,tiny-movement
0.087,-0.130,0.903,-0.032,-0.024,-0.039,0,0,0,0,0,tiny-movement
0.092,-0.129,0.902,-0.035,-0.027,-0.039,0,0,0,0,0,tiny-movement
0.082,-0.129,0.900,-0.034,-0.026,-0.038,0,0,0,0,0,tiny-movement
0.089,-0.128,0.909,-0.032,-0.026,-0.036,0,0,0,0,0,tiny-movement
0.086,-0.130,0.896,-0.023,-0.021,-0.033,0,0,0,0,0,tiny-movement
0.081,-0.129,0.904,-0.025,-0.022,-0.027,0,0,0,0,0,tiny-movement
0.087,-0.123,0.897,-0.019,-0.019,-0.028,0,0,0,0,0,tiny-movement
0.085,-0.126,0.896,-0.019,-0.022,-0.022,0,0,0,0,0,tiny-movement
0.085,-0.120,0.888,-0.005,-0.024,-0.024,0,0,0,0,0,tiny-movement
0.089,-0.134,0.916,-0.019,-0.021,-0.024,0,0,0,0,0,tiny-movement
