acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.589,-0.521,0.557,-0.080,-0.162,-0.080,0,0,0,0,0,waving
0.584,-0.519,0.575,-0.036,-0.152,-0.116,0,0,0,0,0,waving
0.565,-0.522,0.571,0.008,-0.139,-0.144,0,0,0,0,0,waving
0.548,-0.531,0.552,0.052,-0.119,-0.167,0,0,0,0,0,waving
0.525,-0.538,0.538,0.078,-0.104,-0.179,0,0,0,0,0,waving
0.514,-0.541,0.533,0.099,-0.083,-0.184,0,0,0,0,0,waving
0.499,-0.545,0.507,0.116,-0.059,-0.182,0,0,0,0,0,waving
0.491,-0.541,0.506,0.114,-0.041,-0.176,0,0,0,0,0,waving
0.491,-0.543,0.476,0.095,-0.025,-0.162,0,0,0,0,0,waving
0.505,-0.547,0.482,0.054,-0.017,-0.137,0,0,0,0,0,waving
0.515,-0.551,0.473,0.002,-0.035,-0.116,0,0,0,0,0,waving
0.529,-0.545,0.472,-0.054,-0.064,-0.100,0,0,0,0,0,waving
0.541,-0.545,0.485,-0.084,-0.085,-0.099,0,0,0,0,0,waving
0.545,-0.533,0.507,-0.089,-0.082,-0.106,0,0,0,0,0,waving
0.542,-0.527,0.507,-0.074,-0.059,-0.130,0,0,0,0,0,waving
0.548,-0.522,0.514,-0.044,-0.013,-0.162,0,0,0,0,0,waving
0.548,-0.528,0.517,-0.020,0.034,-0.188,0,0,0,0,0,waving
0.547,-0.534,0.512,0.000,0.080,-0.214,0,0,0,0,0,waving
0.545,-0.533,0.507,0.005,0.111,-0.235,0,0,0,0,0,waving
0.539,-0.541,0.495,-0.002,0.139,-0.245,0,0,0,0,0,waving
0.529,-0.547,0.484,-0.010,0.161,-0.248,0,0,0,0,0,waving
0.529,-0.552,0.473,-0.037,0.172,-0.252,0,0,0,0,0,waving
0.533,-0.560,0.449,-0.066,0.179,-0.258,0,0,0,0,0,waving
0.527,-0.560,0.432,-0.091,0.183,-0.263,0,0,0,0,0,waving
0.520,-0.564,0.418,-0.119,0.189,-0.275,0,0,0,0,0,waving
0.520,-0.568,0.396,-0.154,0.198,-0.303,0,0,0,0,0,waving
0.516,-0.567,0.390,-0.204,0.205,-0.332,0,0,0,0,0,waving
0.507,-0.577,0.414,-0.328,0.199,-0.363,0,0,0,0,0,waving
0.497,-0.581,0.435,-0.445,0.199,-0.373,0,0,0,0,0,waving
0.480,-0.575,0.426,-0.507,0.262,-0.376,0,0,0,0,0,waving
