acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.198,-0.843,0.435,-0.032,0.201,-0.284,0,0,0,0,0,wist
0.197,-0.843,0.430,-0.034,0.211,-0.282,0,0,0,0,0,wist
0.200,-0.844,0.433,-0.034,0.214,-0.264,0,0,0,0,0,wist
0.203,-0.839,0.438,-0.022,0.205,-0.255,0,0,0,0,0,wist
0.207,-0.832,0.442,-0.008,0.188,-0.245,0,0,0,0,0,wist
0.216,-0.838,0.436,0.012,0.184,-0.246,0,0,0,0,0,wist
0.211,-0.829,0.442,0.017,0.200,-0.244,0,0,0,0,0,wist
0.226,-0.827,0.437,0.019,0.228,-0.246,0,0,0,0,0,wist
0.222,-0.817,0.432,0.033,0.245,-0.265,0,0,0,0,0,wist
0.216,-0.813,0.438,0.068,0.264,-0.292,0,0,0,0,0,wist
0.223,-0.812,0.426,0.105,0.276,-0.316,0,0,0,0,0,wist
0.220,-0.823,0.431,0.111,0.275,-0.330,0,0,0,0,0,wist
0.205,-0.832,0.428,0.099,0.258,-0.333,0,0,0,0,0,wist
0.194,-0.838,0.421,0.071,0.245,-0.320,0,0,0,0,0,wist
0.196,-0.838,0.409,0.019,0.236,-0.306,0,0,0,0,0,wist
0.194,-0.845,0.414,-0.040,0.245,-0.289,0,0,0,0,0,wist
0.194,-0.839,0.405,-0.088,0.259,-0.277,0,0,0,0,0,wist
0.197,-0.837,0.386,-0.112,0.276,-0.269,0,0,0,0,0,wist
0.198,-0.825,0.396,-0.120,0.287,-0.268,0,0,0,0,0,wist
0.193,-0.821,0.381,-0.112,0.294,-0.268,0,0,0,0,0,wist
0.186,-0.816,0.368,-0.106,0.294,-0.265,0,0,0,0,0,wist
0.183,-0.823,0.386,-0.101,0.304,-0.269,0,0,0,0,0,wist
0.180,-0.832,0.370,-0.113,0.319,-0.266,0,0,0,0,0,wist
0.173,-0.844,0.375,-0.130,0.341,-0.262,0,0,0,0,0,wist
0.170,-0.844,0.380,-0.154,0.356,-0.245,0,0,0,0,0,wist
0.172,-0.843,0.377,-0.166,0.360,-0.238,0,0,0,0,0,wist
0.173,-0.845,0.383,-0.181,0.372,-0.234,0,0,0,0,0,wist
0.191,-0.839,0.379,-0.195,0.396,-0.236,0,0,0,0,0,wist
0.196,-0.836,0.399,-0.196,0.413,-0.243,0,0,0,0,0,wist
0.206,-0.833,0.403,-0.176,0.430,-0.247,0,0,0,0,0,wist
0.207,-0.830,0.403,-0.150,0.454,-0.254,0,0,0,0,0,wist
0.207,-0.829,0.409,-0.121,0.470,-0.274,0,0,0,0,0,wist
0.213,-0.832,0.406,-0.098,0.494,-0.285,0,0,0,0,0,wist
0.214,-0.840,0.406,-0.094,0.505,-0.282,0,0,0,0,0,wist
0.218,-0.833,0.415,-0.088,0.496,-0.275,0,0,0,0,0,wist
0.212,-0.843,0.418,-0.086,0.480,-0.263,0,0,0,0,0,wist
0.225,-0.843,0.422,-0.098,0.463,-0.249,0,0,0,0,0,wist
0.229,-0.833,0.421,-0.128,0.430,-0.248,0,0,0,0,0,wist
0.237,-0.831,0.455,-0.167,0.389,-0.264,0,0,0,0,0,wist
0.236,-0.825,0.460,-0.205,0.372,-0.286,0,0,0,0,0,wist
0.240,-0.807,0.461,-0.190,0.360,-0.318,0,0,0,0,0,wist
0.227,-0.804,0.455,-0.160,0.331,-0.330,0,0,0,0,0,wist
0.201,-0.813,0.433,-0.120,0.299,-0.337,0,0,0,0,0,wist
0.192,-0.812,0.446,-0.069,0.301,-0.351,0,0,0,0,0,wist
0.186,-0.839,0.414,-0.024,0.289,-0.348,0,0,0,0,0,wist
0.177,-0.847,0.403,0.028,0.266,-0.340,0,0,0,0,0,wist
0.167,-0.859,0.411,0.044,0.267,-0.308,0,0,0,0,0,wist
0.166,-0.867,0.407,0.038,0.296,-0.270,0,0,0,0,0,wist
0.179,-0.865,0.409,0.020,0.347,-0.227,0,0,0,0,0,wist
0.179,-0.856,0.384,0.002,0.404,-0.195,0,0,0,0,0,wist
0.190,-0.858,0.364,-0.007,0.470,-0.189,0,0,0,0,0,wist
0.198,-0.849,0.349,0.004,0.526,-0.197,0,0,0,0,0,wist
0.213,-0.853,0.352,0.041,0.550,-0.208,0,0,0,0,0,wist
